Car Name,Specs,Price
Used 2008 BMW M3,"Mileage:42,689 milesMPG:13city /19hwyColor:BlackBody Style:ConvertibleEngine:8 Cyl 4.0 LTransmission:Manual","Price:$26,000"
Used 2008 BMW M3,"Mileage:108,371 milesMPG:14city /20hwyColor:BlackBody Style:CoupeEngine:8 Cyl 4.0 LTransmission:Automatic","Price:$19,999"
Used 2008 BMW M3,"Mileage:146,920 milesMPG:13city /19hwyColor:SilverBody Style:ConvertibleEngine:8 Cyl 4.0 LTransmission:Manual","Price:$13,982"
Used 2008 BMW M3,"Mileage:44,826 milesMPG:14city /20hwyColor:BlackBody Style:CoupeEngine:8 Cyl 4.0 LTransmission:Manual","Price:$57,500"
Used 2008 BMW M3,"Mileage:76,456 milesMPG:14city /20hwyColor:RedBody Style:ConvertibleEngine:8 Cyl 4.0 LTransmission:Automatic","Price:$23,995"
Used 2008 BMW M3,"Mileage:108,841 milesMPG:14city /20hwyColor:BlackBody Style:ConvertibleEngine:8 Cyl 4.0 LTransmission:Automatic","Price:$21,990"
Used 2008 BMW M3,"Mileage:16,324 milesMPG:14city /20hwyColor:GrayBody Style:CoupeEngine:8 Cyl 4.0 LTransmission:Automatic","Price:$44,999"
Used 2008 BMW M3,"Mileage:105,805 milesMPG:14city /20hwyColor:BlackBody Style:SedanEngine:8 Cyl 4.0 LTransmission:Manual","Price:$29,988"
Used 2008 BMW M3,"Mileage:152,870 milesMPG:13city /19hwyColor:WhiteBody Style:ConvertibleEngine:8 Cyl 4.0 LTransmission:Manual","Price:$17,990"
Used 2008 BMW M3,"Mileage:77,665 milesMPG:14city /20hwyColor:GrayBody Style:CoupeEngine:8 Cyl 4.0 LTransmission:Manual","Price:$35,900"
Used 2008 BMW M3,"Mileage:58,418 milesMPG:14city /20hwyColor:WhiteBody Style:CoupeEngine:8 Cyl 4.0 LTransmission:Manual","Price:$37,990"
Used 2008 BMW M3,"Mileage:95,619 milesMPG:14city /20hwyColor:GrayBody Style:CoupeEngine:8 Cyl 4.0 LTransmission:Automatic","Price:$18,990"
